timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;245112
riskDamage-%-soc-custom-8;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-91;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-91;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-alarm;0,00;95,45;296,30;291,05;280,65;280,65;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22;236,22
riskDamage-%-soc-alarm;0,0000;0,1501;0,5017;0,4979;0,5007;0,5450;0,4678;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063;0,5063
riskDamage-soc-custom-96;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-96;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-97;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-97;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-94;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-94;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-95;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-95;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-98;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-98;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-99;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-99;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-light;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-light;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-70;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-70;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-71;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-71;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-74;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-74;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-75;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-75;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-72;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-72;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-73;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-73;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-78;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-78;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-79;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-79;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-76;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-76;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-77;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-77;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-81;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-81;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-82;0,00;95,50;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-82;0,0000;0,1502;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-80;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-80;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-smoke;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-smoke;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-85;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-85;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-86;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-86;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-83;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-83;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-84;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-84;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
riskDamage-soc-custom-89;0,00;0,00;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30;296,30
riskDamage-%-soc-custom-89;0,0000;0,0000;0,5017;0,5069;0,5286;0,5754;0,5868;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351;0,6351
