timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;216675
riskDamage-%-soc-custom-17;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-14;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-14;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-15;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-15;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-18;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-19;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-19;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-12;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-12;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-13;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-13;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-10;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-10;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-11;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-11;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-27;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-27;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-28;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-28;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-25;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-25;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-26;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-26;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-29;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-29;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-20;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-20;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-23;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-23;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-24;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-24;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-21;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-21;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-22;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-22;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-100;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-100;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-motion;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-motion;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-humidity;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-humidity;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-server;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98
riskDamage-%-server;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063;0,0063
riskDamage-soc-custom-58;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-58;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-59;0,00;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35
riskDamage-%-soc-custom-59;0,0000;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990
riskDamage-soc-custom-52;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-52;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-53;0,00;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35
riskDamage-%-soc-custom-53;0,0000;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990
riskDamage-soc-custom-50;0,00;0,00;0,00;0,00;0,00;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-50;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-51;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-51;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-56;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-56;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-57;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-57;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
riskDamage-soc-custom-54;0,00;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35;317,35
riskDamage-%-soc-custom-54;0,0000;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990;0,4990
riskDamage-soc-custom-55;0,00;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06;254,06
riskDamage-%-soc-custom-55;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
